投稿日,サムネイルURL,再生数,クリック率,平均再生率
2026/06/17,https://img.youtube.com/vi/et7NA-7Dpi0/maxresdefault.jpg,"2,768",4.62,25.68
2026/06/19,https://img.youtube.com/vi/sBDdw4Ft9Ns/maxresdefault.jpg,138,3.39,31.71
2026/06/22,https://img.youtube.com/vi/G8HMGTJCkCQ/maxresdefault.jpg,"2,370",5.34,28.2
2026/06/24,https://img.youtube.com/vi/PxmxbxABlm0/maxresdefault.jpg,319,4,21
2026/06/26,https://img.youtube.com/vi/7Y7qEXdI9K0/maxresdefault.jpg,478,5.18,41.17
2026/06/29,https://img.youtube.com/vi/XICvaoKNwPM/maxresdefault.jpg,189,4.05,34.79
2026/07/01,https://img.youtube.com/vi/K824TbZINLg/maxresdefault.jpg,"2,376",5.56,28.22
2026/07/03,https://img.youtube.com/vi/qxmDDHxXy_Y/maxresdefault.jpg,219,5.43,36.27
2026/07/06,https://img.youtube.com/vi/e18njItIdQ0/maxresdefault.jpg,"5,118",6.44,30.35
2026/07/08,https://img.youtube.com/vi/4LASSB3n25Q/maxresdefault.jpg,183,4.77,39.25
2026/07/10,https://img.youtube.com/vi/1dgmvo_BIYM/maxresdefault.jpg,168,4.78,27.98
2026/07/13,https://img.youtube.com/vi/9X4S0zEF0lE/maxresdefault.jpg,267,4.57,35.09
2026/07/15,https://img.youtube.com/vi/QsBUmGn4l4E/maxresdefault.jpg,"18,352",5.71,25.31
2026/07/17,https://img.youtube.com/vi/KzOPPK1l84w/maxresdefault.jpg,160,4.64,30.9
2026/07/20,https://img.youtube.com/vi/hS-Z3ON01NY/maxresdefault.jpg,1,0,19.69
